flights_delayed_per_day,arr_delay_rate_per_day,avg_arr_delay_time_per_day,delay_rate_per_day,avg_delay_time_per_day,dep_delay_rate_per_day,avg_dep_delay_time_per_day,volume_per_day,arr_volume_per_day,dep_volume_per_day
87,0.32575757575757575,22.697674418604652,0.3438735177865613,0.691699604743083,0.36363636363636365,4.355371900826446,253,132,121
68,0.21052631578947367,33.96875,0.22006472491909385,-1.8576051779935274,0.22929936305732485,-0.5732484076433121,309,152,157
72,0.2360248447204969,13.921052631578947,0.22291021671826625,-3.3374613003095974,0.20987654320987653,1.4444444444444444,323,161,162
48,0.1518987341772152,13.541666666666666,0.1509433962264151,-6.415094339622642,0.15,-2.375,318,158,160
74,0.2088607594936709,29.333333333333332,0.23492063492063492,-0.473015873015873,0.2611464968152866,4.114649681528663,315,158,157
47,0.18064516129032257,20.25,0.15359477124183007,-3.3137254901960786,0.12582781456953643,1.4966887417218544,306,155,151
71,0.22424242424242424,23.89189189189189,0.2132132132132132,-1.7147147147147148,0.20238095238095238,1.9047619047619047,333,165,168
37,0.12738853503184713,9.6,0.11858974358974358,-8.10576923076923,0.10967741935483871,-3.464516129032258,312,157,155
68,0.2229299363057325,15.142857142857142,0.21725239616613418,-3.8945686900958467,0.21153846153846154,0.36538461538461536,313,157,156
72,0.2389937106918239,10.710526315789474,0.2236024844720497,-3.3043478260869565,0.2085889570552147,1.2392638036809815,322,159,163
56,0.19875776397515527,18.9375,0.1755485893416928,-5.808777429467084,0.1518987341772152,-3.0126582278481013,319,161,158
44,0.17647058823529413,23.703703703703702,0.14426229508196722,-5.00327868852459,0.1118421052631579,-2.223684210526316,305,153,152
63,0.22435897435897437,13.457142857142857,0.2032258064516129,-4.122580645161291,0.18181818181818182,-2.0974025974025974,310,156,154
68,0.19736842105263158,9.133333333333333,0.22077922077922077,-5.220779220779221,0.24358974358974358,-1.0705128205128205,308,152,156
61,0.16352201257861634,54.34615384615385,0.19741100323624594,-1.9385113268608414,0.23333333333333334,0.4,309,159,150
74,0.23270440251572327,33.729729729729726,0.2334384858044164,-0.943217665615142,0.23417721518987342,0.5506329113924051,317,159,158
61,0.21019108280254778,15.06060606060606,0.19488817891373802,-3.9648562300319488,0.1794871794871795,-1.6602564102564104,313,157,156
67,0.23417721518987342,13.891891891891891,0.21405750798722045,-4.686900958466453,0.1935483870967742,-1.632258064516129,313,158,155
62,0.17647058823529413,19.962962962962962,0.20195439739413681,-4.348534201954397,0.22727272727272727,0.42857142857142855,307,153,154
71,0.2532467532467532,10.179487179487179,0.23355263157894737,-4.657894736842105,0.21333333333333335,-1.7266666666666666,304,154,150
58,0.2012987012987013,25.258064516129032,0.18770226537216828,-2.2459546925566345,0.17419354838709677,1.7161290322580645,309,154,155
74,0.26582278481012656,39.80952380952381,0.2364217252396166,2.31629392971246,0.2064516129032258,2.5935483870967744,313,158,155
57,0.16233766233766234,7.6,0.1832797427652733,-5.144694533762058,0.20382165605095542,0.012738853503184714,311,154,157
56,0.17834394904458598,16.0,0.17834394904458598,-6.022292993630574,0.17834394904458598,-2.7070063694267517,314,157,157
45,0.18238993710691823,21.24137931034483,0.14331210191082802,-6.130573248407643,0.1032258064516129,-3.541935483870968,314,159,155
54,0.15384615384615385,31.083333333333332,0.17307692307692307,-2.048076923076923,0.19230769230769232,3.2628205128205128,312,156,156
54,0.17763157894736842,8.814814814814815,0.17532467532467533,-3.8474025974025974,0.17307692307692307,1.6153846153846154,308,152,156
118,0.39864864864864863,26.033898305084747,0.41403508771929826,8.154385964912281,0.4306569343065693,15.13138686131387,285,148,137
116,0.30128205128205127,26.95744680851064,0.3591331269349845,8.210526315789474,0.41317365269461076,16.87425149700599,323,156,167
74,0.2,16.29032258064516,0.23870967741935484,-1.8612903225806452,0.27741935483870966,4.548387096774194,310,155,155
65,0.22151898734177214,16.571428571428573,0.20569620253164558,-3.1044303797468356,0.189873417721519,0.879746835443038,316,158,158
74,0.2077922077922078,36.375,0.24025974025974026,-1.5097402597402598,0.2727272727272727,2.0974025974025974,308,154,154
49,0.19375,26.677419354838708,0.1526479750778816,-2.588785046728972,0.11180124223602485,2.111801242236025,321,160,161
97,0.36423841059602646,14.163636363636364,0.31189710610932475,-0.09967845659163987,0.2625,3.45,311,151,160
76,0.29012345679012347,37.148936170212764,0.2360248447204969,3.5093167701863353,0.18125,3.99375,322,162,160
87,0.34591194968553457,13.6,0.2744479495268139,0.29337539432176657,0.20253164556962025,2.1582278481012658,317,159,158
52,0.1987179487179487,13.0,0.16613418530351437,-5.8498402555910545,0.1337579617834395,-3.624203821656051,313,156,157
39,0.12345679012345678,8.5,0.12074303405572756,-6.006191950464396,0.11801242236024845,1.4782608695652173,323,162,161
30,0.1346153846153846,7.809523809523809,0.0970873786407767,-7.980582524271845,0.058823529411764705,-4.516339869281046,309,156,153
69,0.1962025316455696,9.903225806451612,0.2197452229299363,-2.5605095541401273,0.24358974358974358,4.358974358974359,314,158,156
123,0.44375,16.690140845070424,0.38080495356037153,1.346749226006192,0.31901840490797545,3.1779141104294477,323,160,163
103,0.3790849673202614,16.56896551724138,0.3301282051282051,5.564102564102564,0.2830188679245283,11.628930817610064,312,153,159
79,0.28125,31.644444444444446,0.25,2.142405063291139,0.21794871794871795,5.365384615384615,316,160,156
107,0.3974358974358974,14.758064516129032,0.34185303514376997,0.5271565495207667,0.28662420382165604,2.6178343949044587,313,156,157
53,0.1962025316455696,8.193548387096774,0.16666666666666666,-5.333333333333333,0.1375,-1.06875,318,158,160
74,0.2484076433121019,19.82051282051282,0.2379421221864952,-3.237942122186495,0.22727272727272727,0.16883116883116883,311,157,154
64,0.2111801242236025,20.58823529411765,0.19875776397515527,-2.6801242236024843,0.18633540372670807,0.546583850931677,322,161,161
84,0.2654320987654321,24.232558139534884,0.26006191950464397,-2.0061919504643964,0.2546583850931677,0.6086956521739131,323,162,161
58,0.20625,13.93939393939394,0.18012422360248448,-4.816770186335404,0.15432098765432098,-2.080246913580247,322,160,162
37,0.09433962264150944,7.066666666666666,0.11858974358974358,-7.493589743589744,0.1437908496732026,-1.7124183006535947,312,159,153
45,0.15822784810126583,39.76,0.14240506329113925,-4.268987341772152,0.12658227848101267,-2.0,316,158,158
36,0.11392405063291139,15.666666666666666,0.11538461538461539,-8.16025641025641,0.11688311688311688,-3.3701298701298703,312,158,154
49,0.14102564102564102,13.136363636363637,0.15705128205128205,-5.157051282051282,0.17307692307692307,1.5256410256410255,312,156,156
34,0.09740259740259741,16.133333333333333,0.10967741935483871,-6.34516129032258,0.12179487179487179,0.27564102564102566,310,154,156
56,0.19254658385093168,19.06451612903226,0.17445482866043613,-3.965732087227414,0.15625,0.35625,321,161,160
61,0.20382165605095542,12.53125,0.1955128205128205,-4.916666666666667,0.1870967741935484,-0.5612903225806452,312,157,155
46,0.1610738255033557,10.0,0.15488215488215487,-7.286195286195286,0.14864864864864866,-2.97972972972973,297,149,148
66,0.22666666666666666,8.294117647058824,0.21782178217821782,-4.224422442244224,0.20915032679738563,-0.35947712418300654,303,150,153
114,0.47368421052631576,33.26984126984127,0.4418604651162791,12.108527131782946,0.408,16.176,258,133,125
208,0.5031446540880503,95.6,0.6153846153846154,51.56508875739645,0.7150837988826816,60.40782122905028,338,159,179
80,0.19230769230769232,13.366666666666667,0.25157232704402516,-2.0660377358490565,0.30864197530864196,4.882716049382716,318,156,162
65,0.14012738853503184,11.954545454545455,0.20833333333333334,-5.189102564102564,0.27741935483870966,0.7548387096774194,312,157,155
70,0.23270440251572327,8.378378378378379,0.21806853582554517,-5.155763239875389,0.2037037037037037,-1.537037037037037,321,159,162
